,prog_name,inp,rasp,craft,jax
77,dyck-2,"('{', '}', ')')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
78,dyck-2,"('{', '}', '(')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
79,dyck-2,"('{', '}', '}')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
80,dyck-2,"('{', '}', '{')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
81,dyck-2,"('{', '{', ')')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
82,dyck-2,"('{', '{', '(')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
83,dyck-2,"('{', '{', '}')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
84,dyck-2,"('{', '{', '{')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
0,dyck-3,(),[],[True],['rasp_to_transformer_integration_test_BOS']
1,dyck-3,"(']',)",[0.0],"[True, False]","['rasp_to_transformer_integration_test_BOS', False]"
2,dyck-3,"('{',)",[0.0],"[True, False]","['rasp_to_transformer_integration_test_BOS', False]"
3,dyck-3,"('[',)",[0.0],"[True, False]","['rasp_to_transformer_integration_test_BOS', False]"
4,dyck-3,"(')',)",[0.0],"[True, False]","['rasp_to_transformer_integration_test_BOS', False]"
5,dyck-3,"('}',)",[0.0],"[True, False]","['rasp_to_transformer_integration_test_BOS', False]"
6,dyck-3,"('(',)",[0.0],"[True, False]","['rasp_to_transformer_integration_test_BOS', False]"
7,dyck-3,"(']', ']')","[0.0, 0.0]","[True, False, False]","['rasp_to_transformer_integration_test_BOS', False, False]"
8,dyck-3,"(']', '{')","[0.0, 0.0]","[True, False, False]","['rasp_to_transformer_integration_test_BOS', False, False]"
9,dyck-3,"(']', '[')","[False, False]","[True, False, False]","['rasp_to_transformer_integration_test_BOS', False, False]"
10,dyck-3,"(']', ')')","[0.0, 0.0]","[True, False, False]","['rasp_to_transformer_integration_test_BOS', False, False]"
11,dyck-3,"(']', '}')","[0.0, 0.0]","[True, False, False]","['rasp_to_transformer_integration_test_BOS', False, False]"
12,dyck-3,"(']', '(')","[0.0, 0.0]","[True, False, False]","['rasp_to_transformer_integration_test_BOS', False, False]"
13,dyck-3,"('{', ']')","[0.0, 0.0]","[True, False, False]","['rasp_to_transformer_integration_test_BOS', False, False]"
14,dyck-3,"('{', '{')","[0.0, 0.0]","[True, False, False]","['rasp_to_transformer_integration_test_BOS', False, False]"
15,dyck-3,"('{', '[')","[0.0, 0.0]","[True, False, False]","['rasp_to_transformer_integration_test_BOS', False, False]"
16,dyck-3,"('{', ')')","[0.0, 0.0]","[True, False, False]","['rasp_to_transformer_integration_test_BOS', False, False]"
17,dyck-3,"('{', '}')","[True, True]","[True, True, True]","['rasp_to_transformer_integration_test_BOS', False, False]"
18,dyck-3,"('{', '(')","[0.0, 0.0]","[True, False, False]","['rasp_to_transformer_integration_test_BOS', False, False]"
19,dyck-3,"('[', ']')","[True, True]","[True, True, True]","['rasp_to_transformer_integration_test_BOS', False, False]"
20,dyck-3,"('[', '{')","[0.0, 0.0]","[True, False, False]","['rasp_to_transformer_integration_test_BOS', False, False]"
21,dyck-3,"('[', '[')","[0.0, 0.0]","[True, False, False]","['rasp_to_transformer_integration_test_BOS', False, False]"
22,dyck-3,"('[', ')')","[0.0, 0.0]","[True, False, False]","['rasp_to_transformer_integration_test_BOS', False, False]"
23,dyck-3,"('[', '}')","[0.0, 0.0]","[True, False, False]","['rasp_to_transformer_integration_test_BOS', False, False]"
24,dyck-3,"('[', '(')","[0.0, 0.0]","[True, False, False]","['rasp_to_transformer_integration_test_BOS', False, False]"
25,dyck-3,"(')', ']')","[0.0, 0.0]","[True, False, False]","['rasp_to_transformer_integration_test_BOS', False, False]"
26,dyck-3,"(')', '{')","[0.0, 0.0]","[True, False, False]","['rasp_to_transformer_integration_test_BOS', False, False]"
27,dyck-3,"(')', '[')","[0.0, 0.0]","[True, False, False]","['rasp_to_transformer_integration_test_BOS', False, False]"
28,dyck-3,"(')', ')')","[0.0, 0.0]","[True, False, False]","['rasp_to_transformer_integration_test_BOS', False, False]"
29,dyck-3,"(')', '}')","[0.0, 0.0]","[True, False, False]","['rasp_to_transformer_integration_test_BOS', False, False]"
30,dyck-3,"(')', '(')","[False, False]","[True, False, False]","['rasp_to_transformer_integration_test_BOS', False, False]"
31,dyck-3,"('}', ']')","[0.0, 0.0]","[True, False, False]","['rasp_to_transformer_integration_test_BOS', False, False]"
32,dyck-3,"('}', '{')","[False, False]","[True, False, False]","['rasp_to_transformer_integration_test_BOS', False, False]"
33,dyck-3,"('}', '[')","[0.0, 0.0]","[True, False, False]","['rasp_to_transformer_integration_test_BOS', False, False]"
34,dyck-3,"('}', ')')","[0.0, 0.0]","[True, False, False]","['rasp_to_transformer_integration_test_BOS', False, False]"
35,dyck-3,"('}', '}')","[0.0, 0.0]","[True, False, False]","['rasp_to_transformer_integration_test_BOS', False, False]"
36,dyck-3,"('}', '(')","[0.0, 0.0]","[True, False, False]","['rasp_to_transformer_integration_test_BOS', False, False]"
37,dyck-3,"('(', ']')","[0.0, 0.0]","[True, False, False]","['rasp_to_transformer_integration_test_BOS', False, False]"
38,dyck-3,"('(', '{')","[0.0, 0.0]","[True, False, False]","['rasp_to_transformer_integration_test_BOS', False, False]"
39,dyck-3,"('(', '[')","[0.0, 0.0]","[True, False, False]","['rasp_to_transformer_integration_test_BOS', False, False]"
40,dyck-3,"('(', ')')","[True, True]","[True, True, True]","['rasp_to_transformer_integration_test_BOS', False, False]"
41,dyck-3,"('(', '}')","[0.0, 0.0]","[True, False, False]","['rasp_to_transformer_integration_test_BOS', False, False]"
42,dyck-3,"('(', '(')","[0.0, 0.0]","[True, False, False]","['rasp_to_transformer_integration_test_BOS', False, False]"
43,dyck-3,"(']', ']', ']')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
44,dyck-3,"(']', ']', '{')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
45,dyck-3,"(']', ']', '[')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
46,dyck-3,"(']', ']', ')')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
47,dyck-3,"(']', ']', '}')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
48,dyck-3,"(']', ']', '(')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
49,dyck-3,"(']', '{', ']')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
50,dyck-3,"(']', '{', '{')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
51,dyck-3,"(']', '{', '[')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
52,dyck-3,"(']', '{', ')')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
53,dyck-3,"(']', '{', '}')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
54,dyck-3,"(']', '{', '(')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
55,dyck-3,"(']', '[', ']')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
56,dyck-3,"(']', '[', '{')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
57,dyck-3,"(']', '[', '[')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
58,dyck-3,"(']', '[', ')')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
59,dyck-3,"(']', '[', '}')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
60,dyck-3,"(']', '[', '(')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
61,dyck-3,"(']', ')', ']')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
62,dyck-3,"(']', ')', '{')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
63,dyck-3,"(']', ')', '[')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
64,dyck-3,"(']', ')', ')')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
65,dyck-3,"(']', ')', '}')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
66,dyck-3,"(']', ')', '(')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
67,dyck-3,"(']', '}', ']')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
68,dyck-3,"(']', '}', '{')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
69,dyck-3,"(']', '}', '[')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
70,dyck-3,"(']', '}', ')')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
71,dyck-3,"(']', '}', '}')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
72,dyck-3,"(']', '}', '(')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
73,dyck-3,"(']', '(', ']')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
74,dyck-3,"(']', '(', '{')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
75,dyck-3,"(']', '(', '[')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
76,dyck-3,"(']', '(', ')')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
77,dyck-3,"(']', '(', '}')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
78,dyck-3,"(']', '(', '(')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
79,dyck-3,"('{', ']', ']')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
80,dyck-3,"('{', ']', '{')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
81,dyck-3,"('{', ']', '[')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
82,dyck-3,"('{', ']', ')')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
83,dyck-3,"('{', ']', '}')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
84,dyck-3,"('{', ']', '(')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
85,dyck-3,"('{', '{', ']')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
86,dyck-3,"('{', '{', '{')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
87,dyck-3,"('{', '{', '[')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
88,dyck-3,"('{', '{', ')')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
89,dyck-3,"('{', '{', '}')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
90,dyck-3,"('{', '{', '(')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
91,dyck-3,"('{', '[', ']')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
92,dyck-3,"('{', '[', '{')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
93,dyck-3,"('{', '[', '[')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
94,dyck-3,"('{', '[', ')')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
95,dyck-3,"('{', '[', '}')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
96,dyck-3,"('{', '[', '(')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
97,dyck-3,"('{', ')', ']')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
98,dyck-3,"('{', ')', '{')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
99,dyck-3,"('{', ')', '[')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
100,dyck-3,"('{', ')', ')')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
101,dyck-3,"('{', ')', '}')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
102,dyck-3,"('{', ')', '(')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
103,dyck-3,"('{', '}', ']')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
104,dyck-3,"('{', '}', '{')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
105,dyck-3,"('{', '}', '[')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
106,dyck-3,"('{', '}', ')')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
107,dyck-3,"('{', '}', '}')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
108,dyck-3,"('{', '}', '(')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
109,dyck-3,"('{', '(', ']')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
110,dyck-3,"('{', '(', '{')","[0.0, 0.0, 0.0]","[True, False, False, False]","['rasp_to_transformer_integration_test_BOS', False, False, False]"
